题目,答案,类别
关于串的叙述正确的是 A . 串是字符的有限序列 B . 空串是空格构成的串 C . 模式匹配是串的一种重要运算 D . 串既可以采用顺序存储，也可以采用链是存储,"A,C,D",串
下列哪些结构是非线性结构? A . 图 B . 队列 C . 线性表 D . 树,"A,D",树和二叉树
下面（）属于特殊矩阵 A . 对角矩阵 B . 上三角矩阵 C . 下三角矩阵 D . 稀疏矩阵 E . 对称矩阵,"A,B,C,E",数组和广义表
不是栈和队列共同特点的是 A . 只允许在端点处插入和删除元素 B . 都是先进后出 C . 都是先进先出 D . 没有共同点,"B,C,D",栈和队列
（）是性质相同的数据元素的集合。 A . 数据项 B . 数据对象 C . 数据元素 D . 数据类型 E . 操作 F . 抽象数据类型,B,绪论
在数组上能做的操作有（）。 A . 插入 B . 删除 C . 取值操作 D . 赋值操作,"C,D",数组和广义表
算法设计的要求是 A . 正确性 B . 健壮性 C . 可读性 D . 效率与低存储量需求,"A,B,C,D",绪论
两个串相等必须有（） A . 串长度相等 B . 串中各位置字符任意 C . 串中各位置字符均对应相等 D . 串长度不等 E . 串长度任意,"A,C",串
（ ）二叉排序树不可以得到一个从小到大的有序序列。 A . 先序遍历 B . 中序遍历 C . 后序遍历 D . 层次遍历,"A,C,D",树和二叉树
下列说法是正确的是： A . 在线性表中数据元素之间仅有线性关系 B . 在图形结构中节点之间的关系可以是任意的 C . 简单路径，序列中顶点可以重复出现 D . 邻接表是图的一种链式存储结构,"A,B,D",图
根据数据元素之间的关系的不同特性，通常分为哪几类基本结构？ A . 集合 B . 线性结构 C . 树形结构 D . 图状结构,"A,B,C,D",绪论
线性表的两种存储结构叙述正确的是 A . 线性表顺序存储结构可以随机存取表中任一元素 B . 线性表链式存储结构只能顺序存取表中任一元素 C . 线性表顺序存储结构在插入或删除某一元素时，需要移动大量元素 D . 线性表链式存储结构在插入或删除某一元素时，不需要移动大量元素,"A,B,C,D",线性表
下列说法正确的是： A . 线性结构只能用顺序结构来存放，非线性结构只能用非顺序结构来存放 B . 算法就是程序 C . 数据元素是数据的最小单位 D . 数据结构是具有结构结构的数据对象 E . 数据结构是数据对象与对象数据元素之间关系的集合 F . 数据的逻辑结构是指各数据元素之间的逻辑关系，是用户按使用需要建立的,"A,B,E,F",绪论
以下说法中正确的是____. A . 无向图中的极大连通子图称为连通分量 B . 连通图的广度优先搜索中一般要采用队列来暂存刚访问过的顶点 C . 图的深度优先搜索中一般要采用栈来暂存刚访问过的顶点 D . 有向图的遍历不可采用广度优先搜索方法,"A,B,C",图
下列哪些是线性表的基本操作？ A . 构造线性表 B . 销毁线性表 C . 将元素插入线性表 D . 初始化线性表,"A,B,C,D",线性表
设一条单链表的头指针变量为head且该链表没有头结点，则不能其判空条件是（ ） A . head==0 B . head->next==0 C . head->next==head D . head!=0,"B,C,D",线性表
在任何问题中，数据元素都不是孤立存在的，而是在它们之间存在着某种关系，这种数据元素相互之间的关系称为结构。根据数据元素之间关系的不同特性，下面的选项中（ ）属于其基本结构。 A . 集合 B . 线性结构 C . 树形结构 D . 图状结构,"A,B,C,D",绪论
数据结构中（） A . 数据结构是相互之间存在一种或多种特定关系的数据元素的组合 B . 数据元素是孤立存在的 C . 数据结构是一个二元组 D . 有四类基本结构,"A,C,D",绪论
（）属于特殊矩阵 A . 对角矩阵 B . 上三角矩阵 C . 下三角矩阵 D . 稀疏矩阵 E . 对称矩阵,"A,B,C,E",数组和广义表
一下关于线性结构特点的描述正确的是 A . 存在唯一的一个被称作“第一个”的数据元素 B . 存在唯一的一个被称作“第二个”的数据元素 C . 除第一个之外，集合中的每个数据元素均只有一个前驱 D . 它是最原始的一种数据结构,"A,C",线性表
以下数据结构中属于线性数据结构的是（） A . 队列 B . 线性表 C . 二叉树 D . 栈,"A,B,D",线性表
便于插入和删除操作的是（） A . 静态链表 B . 单链表 C . 双链表 D . 循环链表,"A,B,C,D",线性表
