text,level,tag,url
 买卖股票的最佳时机 III,2,"array, dynamic-programming",https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii/description
 最长连续序列,1,"array, hash-table, union-find",https://leetcode.cn/problems/longest-consecutive-sequence/description
 被围绕的区域,1,"array, breadth-first-search, depth-first-search, matrix, union-find",https://leetcode.cn/problems/surrounded-regions/description
 加油站,1,"array, greedy",https://leetcode.cn/problems/gas-station/description
 分发糖果,2,"array, greedy",https://leetcode.cn/problems/candy/description
 只出现一次的数字,0,"array, bit-manipulation",https://leetcode.cn/problems/single-number/description
 只出现一次的数字 II,1,"array, bit-manipulation",https://leetcode.cn/problems/single-number-ii/description
 单词拆分,1,"array, dynamic-programming, hash-table, memoization, string, trie",https://leetcode.cn/problems/word-break/description
 单词拆分 II,2,"array, backtracking, dynamic-programming, hash-table, memoization, string, trie",https://leetcode.cn/problems/word-break-ii/description
 直线上最多的点数,2,"array, geometry, hash-table, math",https://leetcode.cn/problems/max-points-on-a-line/description
 逆波兰表达式求值,1,"array, math, stack",https://leetcode.cn/problems/evaluate-reverse-polish-notation/description
 乘积最大子数组,1,"array, dynamic-programming",https://leetcode.cn/problems/maximum-product-subarray/description
 寻找旋转排序数组中的最小值,1,"array, binary-search",https://leetcode.cn/problems/find-minimum-in-rotated-sorted-array/description
 寻找旋转排序数组中的最小值 II,2,"array, binary-search",https://leetcode.cn/problems/find-minimum-in-rotated-sorted-array-ii/description
 用 Read4 读取 N 个字符,0,"array, interactive, simulation",https://leetcode.cn/problems/read-n-characters-given-read4/description
 用 Read4 读取 N 个字符 II - 多次调用,2,"array, interactive, simulation",https://leetcode.cn/problems/read-n-characters-given-read4-ii-call-multiple-times/description
 寻找峰值,1,"array, binary-search",https://leetcode.cn/problems/find-peak-element/description
 缺失的区间,0,array,https://leetcode.cn/problems/missing-ranges/description
 最大间距,1,"array, bucket-sort, radix-sort, sorting",https://leetcode.cn/problems/maximum-gap/description
 两数之和 II - 输入有序数组,1,"array, binary-search, two-pointers",https://leetcode.cn/problems/two-sum-ii-input-array-is-sorted/description
 多数元素,0,"array, counting, divide-and-conquer, hash-table, sorting",https://leetcode.cn/problems/majority-element/description
 两数之和 III - 数据结构设计,0,"array, data-stream, design, hash-table, two-pointers",https://leetcode.cn/problems/two-sum-iii-data-structure-design/description
 地下城游戏,2,"array, dynamic-programming, matrix",https://leetcode.cn/problems/dungeon-game/description
 最大数,1,"array, greedy, sorting, string",https://leetcode.cn/problems/largest-number/description
 买卖股票的最佳时机 IV,2,"array, dynamic-programming",https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iv/description
 轮转数组,1,"array, math, two-pointers",https://leetcode.cn/problems/rotate-array/description
 打家劫舍,1,"array, dynamic-programming",https://leetcode.cn/problems/house-robber/description
 岛屿数量,1,"array, breadth-first-search, depth-first-search, matrix, union-find",https://leetcode.cn/problems/number-of-islands/description
 计数质数,1,"array, enumeration, math, number-theory",https://leetcode.cn/problems/count-primes/description
 长度最小的子数组,1,"array, binary-search, prefix-sum, sliding-window",https://leetcode.cn/problems/minimum-size-subarray-sum/description
 单词搜索 II,2,"array, backtracking, matrix, string, trie",https://leetcode.cn/problems/word-search-ii/description
 打家劫舍 II,1,"array, dynamic-programming",https://leetcode.cn/problems/house-robber-ii/description
 数组中的第K个最大元素,1,"array, divide-and-conquer, heap-priority-queue, quickselect, sorting",https://leetcode.cn/problems/kth-largest-element-in-an-array/description
 组合总和 III,1,"array, backtracking",https://leetcode.cn/problems/combination-sum-iii/description
 存在重复元素,0,"array, hash-table, sorting",https://leetcode.cn/problems/contains-duplicate/description
 天际线问题,2,"array, binary-indexed-tree, divide-and-conquer, heap-priority-queue, line-sweep, ordered-set, segment-tree",https://leetcode.cn/problems/the-skyline-problem/description
 存在重复元素 II,0,"array, hash-table, sliding-window",https://leetcode.cn/problems/contains-duplicate-ii/description
 存在重复元素 III,2,"array, bucket-sort, ordered-set, sliding-window, sorting",https://leetcode.cn/problems/contains-duplicate-iii/description
 最大正方形,1,"array, dynamic-programming, matrix",https://leetcode.cn/problems/maximal-square/description
 汇总区间,0,array,https://leetcode.cn/problems/summary-ranges/description
 多数元素 II,1,"array, counting, hash-table, sorting",https://leetcode.cn/problems/majority-element-ii/description
 除自身以外数组的乘积,1,"array, prefix-sum",https://leetcode.cn/problems/product-of-array-except-self/description
 滑动窗口最大值,2,"array, heap-priority-queue, monotonic-queue, queue, sliding-window",https://leetcode.cn/problems/sliding-window-maximum/description
 搜索二维矩阵 II,1,"array, binary-search, divide-and-conquer, matrix",https://leetcode.cn/problems/search-a-2d-matrix-ii/description
 最短单词距离,0,"array, string",https://leetcode.cn/problems/shortest-word-distance/description
 最短单词距离 II,1,"array, design, hash-table, string, two-pointers",https://leetcode.cn/problems/shortest-word-distance-ii/description
 最短单词距离 III,1,"array, string",https://leetcode.cn/problems/shortest-word-distance-iii/description
 中心对称数 II,1,"array, recursion, string",https://leetcode.cn/problems/strobogrammatic-number-ii/description
 中心对称数 III,2,"array, recursion, string",https://leetcode.cn/problems/strobogrammatic-number-iii/description
 移位字符串分组,1,"array, hash-table, string",https://leetcode.cn/problems/group-shifted-strings/description
 展开二维向量,1,"array, design, iterator, two-pointers",https://leetcode.cn/problems/flatten-2d-vector/description
 会议室,0,"array, sorting",https://leetcode.cn/problems/meeting-rooms/description
 会议室 II,1,"array, greedy, heap-priority-queue, prefix-sum, sorting, two-pointers",https://leetcode.cn/problems/meeting-rooms-ii/description
 验证二叉搜索树的前序遍历序列,1,"array, binary-search-tree, binary-tree, monotonic-stack, recursion, stack, tree",https://leetcode.cn/problems/verify-preorder-sequence-in-binary-search-tree/description
 粉刷房子,1,"array, dynamic-programming",https://leetcode.cn/problems/paint-house/description
 较小的三数之和,1,"array, binary-search, sorting, two-pointers",https://leetcode.cn/problems/3sum-smaller/description
 只出现一次的数字 III,1,"array, bit-manipulation",https://leetcode.cn/problems/single-number-iii/description
 粉刷房子 II,2,"array, dynamic-programming",https://leetcode.cn/problems/paint-house-ii/description
 丢失的数字,0,"array, binary-search, bit-manipulation, hash-table, math, sorting",https://leetcode.cn/problems/missing-number/description
 火星词典,2,"array, breadth-first-search, depth-first-search, graph, string, topological-sort",https://leetcode.cn/problems/alien-dictionary/description
 字符串的编码与解码,1,"array, design, string",https://leetcode.cn/problems/encode-and-decode-strings/description
 H 指数,1,"array, counting-sort, sorting",https://leetcode.cn/problems/h-index/description
 H 指数 II,1,"array, binary-search",https://leetcode.cn/problems/h-index-ii/description
 摆动排序,1,"array, greedy, sorting",https://leetcode.cn/problems/wiggle-sort/description
 锯齿迭代器,1,"array, design, iterator, queue",https://leetcode.cn/problems/zigzag-iterator/description
 移动零,0,"array, two-pointers",https://leetcode.cn/problems/move-zeroes/description
 窥视迭代器,1,"array, design, iterator",https://leetcode.cn/problems/peeking-iterator/description
 墙与门,1,"array, breadth-first-search, matrix",https://leetcode.cn/problems/walls-and-gates/description
 寻找重复数,1,"array, binary-search, bit-manipulation, two-pointers",https://leetcode.cn/problems/find-the-duplicate-number/description
 单词的唯一缩写,1,"array, design, hash-table, string",https://leetcode.cn/problems/unique-word-abbreviation/description
 生命游戏,1,"array, matrix, simulation",https://leetcode.cn/problems/game-of-life/description
 最佳的碰头地点,2,"array, math, matrix, sorting",https://leetcode.cn/problems/best-meeting-point/description
 最长递增子序列,1,"array, binary-search, dynamic-programming",https://leetcode.cn/problems/longest-increasing-subsequence/description
 包含全部黑色像素的最小矩形,2,"array, binary-search, breadth-first-search, depth-first-search, matrix",https://leetcode.cn/problems/smallest-rectangle-enclosing-black-pixels/description
 区域和检索 - 数组不可变,0,"array, design, prefix-sum",https://leetcode.cn/problems/range-sum-query-immutable/description
 二维区域和检索 - 矩阵不可变,1,"array, design, matrix, prefix-sum",https://leetcode.cn/problems/range-sum-query-2d-immutable/description
 岛屿数量 II,2,"array, hash-table, union-find",https://leetcode.cn/problems/number-of-islands-ii/description
 区域和检索 - 数组可修改,1,"array, binary-indexed-tree, design, segment-tree",https://leetcode.cn/problems/range-sum-query-mutable/description
 二维区域和检索 - 矩阵可修改,2,"array, binary-indexed-tree, design, matrix, segment-tree",https://leetcode.cn/problems/range-sum-query-2d-mutable/description
 买卖股票的最佳时机含冷冻期,1,"array, dynamic-programming",https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-cooldown/description
 稀疏矩阵的乘法,1,"array, hash-table, matrix",https://leetcode.cn/problems/sparse-matrix-multiplication/description
 戳气球,2,"array, dynamic-programming",https://leetcode.cn/problems/burst-balloons/description
 超级丑数,1,"array, dynamic-programming, math",https://leetcode.cn/problems/super-ugly-number/description
 计算右侧小于当前元素的个数,2,"array, binary-indexed-tree, binary-search, divide-and-conquer, merge-sort, ordered-set, segment-tree",https://leetcode.cn/problems/count-of-smaller-numbers-after-self/description
 离建筑物最近的距离,2,"array, breadth-first-search, matrix",https://leetcode.cn/problems/shortest-distance-from-all-buildings/description
 最大单词长度乘积,1,"array, bit-manipulation, string",https://leetcode.cn/problems/maximum-product-of-word-lengths/description
 拼接最大数,2,"array, greedy, monotonic-stack, stack, two-pointers",https://leetcode.cn/problems/create-maximum-number/description
 零钱兑换,1,"array, breadth-first-search, dynamic-programming",https://leetcode.cn/problems/coin-change/description
 摆动排序 II,1,"array, divide-and-conquer, greedy, quickselect, sorting",https://leetcode.cn/problems/wiggle-sort-ii/description
 和等于 k 的最长子数组长度,1,"array, hash-table, prefix-sum",https://leetcode.cn/problems/maximum-size-subarray-sum-equals-k/description
 区间和的个数,2,"array, binary-indexed-tree, binary-search, divide-and-conquer, merge-sort, ordered-set, segment-tree",https://leetcode.cn/problems/count-of-range-sum/description
 矩阵中的最长递增路径,2,"array, breadth-first-search, depth-first-search, dynamic-programming, graph, matrix, memoization, topological-sort",https://leetcode.cn/problems/longest-increasing-path-in-a-matrix/description
 按要求补齐数组,2,"array, greedy",https://leetcode.cn/problems/patching-array/description
 递增的三元子序列,1,"array, greedy",https://leetcode.cn/problems/increasing-triplet-subsequence/description
 路径交叉,2,"array, geometry, math",https://leetcode.cn/problems/self-crossing/description
 回文对,2,"array, hash-table, string, trie",https://leetcode.cn/problems/palindrome-pairs/description
 数据流中的移动平均值,0,"array, data-stream, design, queue",https://leetcode.cn/problems/moving-average-from-data-stream/description
 前 K 个高频元素,1,"array, bucket-sort, counting, divide-and-conquer, hash-table, heap-priority-queue, quickselect, sorting",https://leetcode.cn/problems/top-k-frequent-elements/description
 设计井字棋,1,"array, design, hash-table, matrix, simulation",https://leetcode.cn/problems/design-tic-tac-toe/description
 两个数组的交集,0,"array, binary-search, hash-table, sorting, two-pointers",https://leetcode.cn/problems/intersection-of-two-arrays/description
 两个数组的交集 II,0,"array, binary-search, hash-table, sorting, two-pointers",https://leetcode.cn/problems/intersection-of-two-arrays-ii/description
 贪吃蛇,1,"array, design, hash-table, queue, simulation",https://leetcode.cn/problems/design-snake-game/description
 俄罗斯套娃信封问题,2,"array, binary-search, dynamic-programming, sorting",https://leetcode.cn/problems/russian-doll-envelopes/description
 直线镜像,1,"array, hash-table, math",https://leetcode.cn/problems/line-reflection/description
 有序转化数组,1,"array, math, sorting, two-pointers",https://leetcode.cn/problems/sort-transformed-array/description
 轰炸敌人,1,"array, dynamic-programming, matrix",https://leetcode.cn/problems/bomb-enemy/description
 敲击计数器,1,"array, binary-search, data-stream, design, queue",https://leetcode.cn/problems/design-hit-counter/description
 矩形区域不超过 K 的最大数值和,2,"array, binary-search, matrix, ordered-set, prefix-sum",https://leetcode.cn/problems/max-sum-of-rectangle-no-larger-than-k/description
 最大整除子集,1,"array, dynamic-programming, math, sorting",https://leetcode.cn/problems/largest-divisible-subset/description
 区间加法,1,"array, prefix-sum",https://leetcode.cn/problems/range-addition/description
 查找和最小的 K 对数字,1,"array, heap-priority-queue",https://leetcode.cn/problems/find-k-pairs-with-smallest-sums/description
 摆动序列,1,"array, dynamic-programming, greedy",https://leetcode.cn/problems/wiggle-subsequence/description
 组合总和 Ⅳ,1,"array, dynamic-programming",https://leetcode.cn/problems/combination-sum-iv/description
 有序矩阵中第 K 小的元素,1,"array, binary-search, heap-priority-queue, matrix, sorting",https://leetcode.cn/problems/kth-smallest-element-in-a-sorted-matrix/description
 电话目录管理系统,1,"array, design, hash-table, linked-list, queue",https://leetcode.cn/problems/design-phone-directory/description
 O(1) 时间插入、删除和获取随机元素,1,"array, design, hash-table, math, randomized",https://leetcode.cn/problems/insert-delete-getrandom-o1/description
 O(1) 时间插入、删除和获取随机元素 - 允许重复,2,"array, design, hash-table, math, randomized",https://leetcode.cn/problems/insert-delete-getrandom-o1-duplicates-allowed/description
 打乱数组,1,"array, design, math, randomized",https://leetcode.cn/problems/shuffle-an-array/description
 完美矩形,2,"array, line-sweep",https://leetcode.cn/problems/perfect-rectangle/description
 UTF-8 编码验证,1,"array, bit-manipulation",https://leetcode.cn/problems/utf-8-validation/description
 旋转函数,1,"array, dynamic-programming, math",https://leetcode.cn/problems/rotate-function/description
 除法求值,1,"array, breadth-first-search, depth-first-search, graph, shortest-path, string, union-find",https://leetcode.cn/problems/evaluate-division/description
 青蛙过河,2,"array, dynamic-programming",https://leetcode.cn/problems/frog-jump/description
 根据身高重建队列,1,"array, binary-indexed-tree, segment-tree, sorting",https://leetcode.cn/problems/queue-reconstruction-by-height/description
 接雨水 II,2,"array, breadth-first-search, heap-priority-queue, matrix",https://leetcode.cn/problems/trapping-rain-water-ii/description
 分割数组的最大值,2,"array, binary-search, dynamic-programming, greedy, prefix-sum",https://leetcode.cn/problems/split-array-largest-sum/description
 最短独占单词缩写,2,"array, backtracking, bit-manipulation, string",https://leetcode.cn/problems/minimum-unique-word-abbreviation/description
 等差数列划分,1,"array, dynamic-programming, sliding-window",https://leetcode.cn/problems/arithmetic-slices/description
 第三大的数,0,"array, sorting",https://leetcode.cn/problems/third-maximum-number/description
 分割等和子集,1,"array, dynamic-programming",https://leetcode.cn/problems/partition-equal-subset-sum/description
 太平洋大西洋水流问题,1,"array, breadth-first-search, depth-first-search, matrix",https://leetcode.cn/problems/pacific-atlantic-water-flow/description
 屏幕可显示句子的数量,1,"array, dynamic-programming, string",https://leetcode.cn/problems/sentence-screen-fitting/description
 棋盘上的战舰,1,"array, depth-first-search, matrix",https://leetcode.cn/problems/battleships-in-a-board/description
 数组中两个数的最大异或值,1,"array, bit-manipulation, hash-table, trie",https://leetcode.cn/problems/maximum-xor-of-two-numbers-in-an-array/description
 有效的单词方块,0,"array, matrix",https://leetcode.cn/problems/valid-word-square/description
 单词方块,2,"array, backtracking, string, trie",https://leetcode.cn/problems/word-squares/description
 建立四叉树,1,"array, divide-and-conquer, matrix, tree",https://leetcode.cn/problems/construct-quad-tree/description
 无重叠区间,1,"array, dynamic-programming, greedy, sorting",https://leetcode.cn/problems/non-overlapping-intervals/description
 寻找右区间,1,"array, binary-search, sorting",https://leetcode.cn/problems/find-right-interval/description
 数组中重复的数据,1,"array, hash-table",https://leetcode.cn/problems/find-all-duplicates-in-an-array/description
 序列重建,1,"array, graph, topological-sort",https://leetcode.cn/problems/sequence-reconstruction/description
 等差数列划分 II - 子序列,2,"array, dynamic-programming",https://leetcode.cn/problems/arithmetic-slices-ii-subsequence/description
 回旋镖的数量,1,"array, hash-table, math",https://leetcode.cn/problems/number-of-boomerangs/description
 找到所有数组中消失的数字,0,"array, hash-table",https://leetcode.cn/problems/find-all-numbers-disappeared-in-an-array/description
 用最少数量的箭引爆气球,1,"array, greedy, sorting",https://leetcode.cn/problems/minimum-number-of-arrows-to-burst-balloons/description
 最小操作次数使数组元素相等,1,"array, math",https://leetcode.cn/problems/minimum-moves-to-equal-array-elements/description
 四数相加 II,1,"array, hash-table",https://leetcode.cn/problems/4sum-ii/description
 分发饼干,0,"array, greedy, sorting, two-pointers",https://leetcode.cn/problems/assign-cookies/description
 132 模式,1,"array, binary-search, monotonic-stack, ordered-set, stack",https://leetcode.cn/problems/132-pattern/description
 环形数组是否存在循环,1,"array, hash-table, two-pointers",https://leetcode.cn/problems/circular-array-loop/description
 最小操作次数使数组元素相等 II,1,"array, math, sorting",https://leetcode.cn/problems/minimum-moves-to-equal-array-elements-ii/description
 岛屿的周长,0,"array, breadth-first-search, depth-first-search, matrix",https://leetcode.cn/problems/island-perimeter/description
 最优账单平衡,2,"array, backtracking, bit-manipulation, bitmask, dynamic-programming",https://leetcode.cn/problems/optimal-account-balancing/description
 凸多边形,1,"array, geometry, math",https://leetcode.cn/problems/convex-polygon/description
 连接词,2,"array, depth-first-search, dynamic-programming, string, trie",https://leetcode.cn/problems/concatenated-words/description
 火柴拼正方形,1,"array, backtracking, bit-manipulation, bitmask, dynamic-programming",https://leetcode.cn/problems/matchsticks-to-square/description
 一和零,1,"array, dynamic-programming, string",https://leetcode.cn/problems/ones-and-zeroes/description
 供暖器,1,"array, binary-search, sorting, two-pointers",https://leetcode.cn/problems/heaters/description
 汉明距离总和,1,"array, bit-manipulation, math",https://leetcode.cn/problems/total-hamming-distance/description
 滑动窗口中位数,2,"array, hash-table, heap-priority-queue, sliding-window",https://leetcode.cn/problems/sliding-window-median/description
 寻找排列,1,"array, greedy, stack, string",https://leetcode.cn/problems/find-permutation/description
 最大连续 1 的个数,0,array,https://leetcode.cn/problems/max-consecutive-ones/description
 预测赢家,1,"array, dynamic-programming, game-theory, math, recursion",https://leetcode.cn/problems/predict-the-winner/description
 最大连续1的个数 II,1,"array, dynamic-programming, sliding-window",https://leetcode.cn/problems/max-consecutive-ones-ii/description
 迷宫,1,"array, breadth-first-search, depth-first-search, matrix",https://leetcode.cn/problems/the-maze/description
 非递减子序列,1,"array, backtracking, bit-manipulation, hash-table",https://leetcode.cn/problems/non-decreasing-subsequences/description
 翻转对,2,"array, binary-indexed-tree, binary-search, divide-and-conquer, merge-sort, ordered-set, segment-tree",https://leetcode.cn/problems/reverse-pairs/description
 目标和,1,"array, backtracking, dynamic-programming",https://leetcode.cn/problems/target-sum/description
 提莫攻击,0,"array, simulation",https://leetcode.cn/problems/teemo-attacking/description
 下一个更大元素 I,0,"array, hash-table, monotonic-stack, stack",https://leetcode.cn/problems/next-greater-element-i/description
 非重叠矩形中的随机点,1,"array, binary-search, math, ordered-set, prefix-sum, randomized, reservoir-sampling",https://leetcode.cn/problems/random-point-in-non-overlapping-rectangles/description
 对角线遍历,1,"array, matrix, simulation",https://leetcode.cn/problems/diagonal-traverse/description
 迷宫 III,2,"array, breadth-first-search, depth-first-search, graph, heap-priority-queue, matrix, shortest-path, string",https://leetcode.cn/problems/the-maze-iii/description
 键盘行,0,"array, hash-table, string",https://leetcode.cn/problems/keyboard-row/description
 IPO,2,"array, greedy, heap-priority-queue, sorting",https://leetcode.cn/problems/ipo/description
 下一个更大元素 II,1,"array, monotonic-stack, stack",https://leetcode.cn/problems/next-greater-element-ii/description
 迷宫 II,1,"array, breadth-first-search, depth-first-search, graph, heap-priority-queue, matrix, shortest-path",https://leetcode.cn/problems/the-maze-ii/description
 相对名次,0,"array, heap-priority-queue, sorting",https://leetcode.cn/problems/relative-ranks/description
 超级洗衣机,2,"array, greedy",https://leetcode.cn/problems/super-washing-machines/description
 零钱兑换 II,1,"array, dynamic-programming",https://leetcode.cn/problems/coin-change-ii/description
 最长特殊序列 II,1,"array, hash-table, sorting, string, two-pointers",https://leetcode.cn/problems/longest-uncommon-subsequence-ii/description
 连续的子数组和,1,"array, hash-table, math, prefix-sum",https://leetcode.cn/problems/continuous-subarray-sum/description
 通过删除字母匹配到字典里最长单词,1,"array, sorting, string, two-pointers",https://leetcode.cn/problems/longest-word-in-dictionary-through-deleting/description
 连续数组,1,"array, hash-table, prefix-sum",https://leetcode.cn/problems/contiguous-array/description
 优美的排列,1,"array, backtracking, bit-manipulation, bitmask, dynamic-programming",https://leetcode.cn/problems/beautiful-arrangement/description
 单词缩写,2,"array, greedy, sorting, string, trie",https://leetcode.cn/problems/word-abbreviation/description
 按权重随机选择,1,"array, binary-search, math, prefix-sum, randomized",https://leetcode.cn/problems/random-pick-with-weight/description
 扫雷游戏,1,"array, breadth-first-search, depth-first-search, matrix",https://leetcode.cn/problems/minesweeper/description
 孤独像素 I,1,"array, hash-table, matrix",https://leetcode.cn/problems/lonely-pixel-i/description
 数组中的 k-diff 数对,1,"array, binary-search, hash-table, sorting, two-pointers",https://leetcode.cn/problems/k-diff-pairs-in-an-array/description
 孤独像素 II,1,"array, hash-table, matrix",https://leetcode.cn/problems/lonely-pixel-ii/description
 最小时间差,1,"array, math, sorting, string",https://leetcode.cn/problems/minimum-time-difference/description
 有序数组中的单一元素,1,"array, binary-search",https://leetcode.cn/problems/single-element-in-a-sorted-array/description
 01 矩阵,1,"array, breadth-first-search, dynamic-programming, matrix",https://leetcode.cn/problems/01-matrix/description
 移除盒子,2,"array, dynamic-programming, memoization",https://leetcode.cn/problems/remove-boxes/description
 将数组分割成和相等的子数组,2,"array, hash-table, prefix-sum",https://leetcode.cn/problems/split-array-with-equal-sum/description
 最优除法,1,"array, dynamic-programming, math",https://leetcode.cn/problems/optimal-division/description
 砖墙,1,"array, hash-table",https://leetcode.cn/problems/brick-wall/description
 分割连接字符串,1,"array, greedy, string",https://leetcode.cn/problems/split-concatenated-strings/description
 和为 K 的子数组,1,"array, hash-table, prefix-sum",https://leetcode.cn/problems/subarray-sum-equals-k/description
 数组拆分,0,"array, counting-sort, greedy, sorting",https://leetcode.cn/problems/array-partition/description
 矩阵中最长的连续1线段,1,"array, dynamic-programming, matrix",https://leetcode.cn/problems/longest-line-of-consecutive-one-in-matrix/description
 数组嵌套,1,"array, depth-first-search",https://leetcode.cn/problems/array-nesting/description
 重塑矩阵,0,"array, matrix, simulation",https://leetcode.cn/problems/reshape-the-matrix/description
 最大休假天数,2,"array, dynamic-programming, matrix",https://leetcode.cn/problems/maximum-vacation-days/description
 松鼠模拟,1,"array, math",https://leetcode.cn/problems/squirrel-simulation/description
 分糖果,0,"array, hash-table",https://leetcode.cn/problems/distribute-candies/description
 最短无序连续子数组,1,"array, greedy, monotonic-stack, sorting, stack, two-pointers",https://leetcode.cn/problems/shortest-unsorted-continuous-subarray/description
 杀掉进程,1,"array, breadth-first-search, depth-first-search, hash-table, tree",https://leetcode.cn/problems/kill-process/description
 安装栅栏,2,"array, geometry, math",https://leetcode.cn/problems/erect-the-fence/description
 最长和谐子序列,0,"array, counting, hash-table, sliding-window, sorting",https://leetcode.cn/problems/longest-harmonious-subsequence/description
 区间加法 II,0,"array, math",https://leetcode.cn/problems/range-addition-ii/description
